instance,method,status,feasible,optimal,objective,best_bound,gap,time_sec
"MVPRP4_10_6_3","lbbd","LBBD_Converged(iter=8,feasCuts=0,optCuts=6,lpDualCuts=17,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,41823.614160,41823.614160,0.000000,30.480639
"MVPRP4_10_9_2","origin","Feasible",true,false,62541.833210,62428.020433,0.001820,600.017117
"MVPRP4_10_9_2","reform","Optimal",true,true,62541.833210,62541.772051,0.000001,510.469312
"MVPRP4_10_9_2","lbbd_no_init","LBBD_Converged(iter=38,feasCuts=0,optCuts=36,lpDualCuts=86,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,62541.833210,62541.833210,0.000000,175.485302
"MVPRP4_10_9_2","lbbd",
"MVPRP4_10_9_3","origin","Feasible",true,false,64111.662180,63463.978845,0.010102,600.133047
"MVPRP4_10_9_3","reform","Feasible",true,false,64205.295784,63397.578535,0.012580,603.874215
"MVPRP4_10_9_3","lbbd_no_init","LBBD_Converged(iter=82,feasCuts=0,optCuts=80,lpDualCuts=169,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,64111.662180,64111.662180,0.000000,185.492549
"MVPRP4_10_9_3","lbbd","LBBD_Converged(iter=82,feasCuts=0,optCuts=80,lpDualCuts=170,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,64111.662180,64111.662180,0.000000,363.683201

